table_name,sp_name,method
customer_insights.studio_session_source_mod,sp_studio_behaviour_by_source,TARGET
customer_insights.studio_scroll_depth_session,sp_studio_behaviour_by_source,TARGET
dev.studio_crm_campaign_fix,sp_studio_behaviour_by_source,TARGET
customer_insights.studio_bounce_rate_session,sp_studio_behaviour_by_source,TARGET
customer_insights.studio_traffic_dashboard_user_data,sp_studio_behaviour_by_source,TARGET
dev.studio_bn_ctr,sp_studio_behaviour_by_source,TARGET
customer_insights.studio_date_user_session_metrics,sp_studio_behaviour_by_source,TARGET
customer_insights.date_cohorts_stu_myn_dau_wau_mau,sp_studio_behaviour_by_source,TARGET
dev.studio_source_post_impression_final,sp_studio_behaviour_by_source,TARGET
customer_insights.studio_metrics_by_session_source_new_granular,sp_studio_behaviour_by_source,TARGET
customer_insights.studio_session_source_date_session_id,sp_studio_behaviour_by_source,TARGET
customer_insights.studio_visit_cohorts_user_key_metrics,sp_studio_behaviour_by_source,TARGET
customer_insights.studio_session_source_date_session_id_metrics,sp_studio_behaviour_by_source,TARGET
customer_insights.studio_overall_metrics_by_session_source_new_v1,sp_studio_behaviour_by_source,TARGET
customer_insights.studio_visit_cohorts_all_user_key_metrics,sp_studio_behaviour_by_source,TARGET
customer_insights.studio_session_source_base_final_mod,sp_studio_behaviour_by_source,TARGET
customer_insights.studio_logged_in_lifetime_nb_base_visit_cohort_share,sp_studio_behaviour_by_source,TARGET
customer_insights.studio_engagement_rate_session,sp_studio_behaviour_by_source,TARGET
customer_insights.studio_funnel_wev_session_test,sp_studio_behaviour_by_source,TARGET
customer_insights.studio_metrics_by_session_source_new_v1,sp_studio_behaviour_by_source,TARGET
dev.bottomnav_widget_click_shares,sp_studio_behaviour_by_source,TARGET
customer_insights.studio_all_users_lifetime_nb_base_visits,sp_studio_behaviour_by_source,TARGET
customer_insights.studio_time_spent_session,sp_studio_behaviour_by_source,TARGET
dev.studio_rtn_by_source,sp_studio_behaviour_by_source,TARGET
customer_insights.studio_funnel_ev_session_test,sp_studio_behaviour_by_source,TARGET
customer_insights.studio_session_source_conversion_ocd_view_v1,sp_studio_behaviour_by_source,TARGET
customer_insights.studio_metrics_by_session_source_new_td,sp_studio_behaviour_by_source,TARGET
customer_insights.studio_all_users_lifetime_nb_base_visit_cohort_share,sp_studio_behaviour_by_source,TARGET
customer_insights.studio_logged_in_lifetime_nb_base_visits,sp_studio_behaviour_by_source,TARGET
customer_insights.studio_key_metrics_user_cohort_base,sp_studio_behaviour_by_source,TARGET
customer_insights.hp_cp_banner_funnel,sp_studio_behaviour_by_source,TARGET
dev.D30_rtn_rate_BBS,sp_studio_behaviour_by_source,DROP AND CREATE
dev.studio_users_D1_rtn_base_BBS,sp_studio_behaviour_by_source,DROP AND CREATE
dev.studio_D7_rtn_users_flag_BBS,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.date_cohorts_myn_dau_wau_mau,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.studio_bottomnav_sessions_2_mod,sp_studio_behaviour_by_source,DROP AND CREATE
dev.studio_users_without_ob_BBS,sp_studio_behaviour_by_source,DROP AND CREATE
dev.studio_D1_rtn_users_flag_BBS,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.sessions_user_cohort_base,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.studio_bottomnav_sessions_mod,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.studio_banner_click_sessions_mod,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.studio_card_click_sessions_mod,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.store_order_id_user_cohort_base_upate,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.time_spent_user_cohort_base,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.studio_logged_in_lifetime_nb_base,sp_studio_behaviour_by_source,DROP AND CREATE
dev.studio_users_D7_rtn_base_BBS,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.store_order_id_user_cohort_base,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.date_cohorts_myn_dau_mau,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.date_cohorts_stu_dau_wau_mau,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.studio_my_orders_sessions_mod,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.new_user_per_user_cohort_base,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.date_cohorts_stu_dau_wau,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.scroll_depth_user_cohort_base,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.date_cohorts_myn_dau_wau,sp_studio_behaviour_by_source,DROP AND CREATE
dev.stu_tbs_stage1,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.studio_pdp_sessions_mod,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.bounce_rate_user_cohort_base,sp_studio_behaviour_by_source,DROP AND CREATE
dev.studio_users_D30_rtn_base_BBS,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.studio_session_source_base_mod2,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.studio_desktop_sessions_mod,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.studio_leftnav_sessions_mod,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.studio_session_source_base_mod,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.orders_user_cohort_base_update,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.date_cohorts_stu_dau_mau,sp_studio_behaviour_by_source,DROP AND CREATE
dev.studio_D30_rtn_users_flag_BBS,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.studio_smart_carousel_sessions_mod,sp_studio_behaviour_by_source,DROP AND CREATE
dev.studio_post_sessionid,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.studio_explore_sessions_mod,sp_studio_behaviour_by_source,DROP AND CREATE
dev.D7_rtn_rate_BBS,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.studio_all_users_lifetime_nb_base,sp_studio_behaviour_by_source,DROP AND CREATE
dev.D1_rtn_rate_BBS,sp_studio_behaviour_by_source,DROP AND CREATE
dev.stu_tbs_stage4,sp_studio_behaviour_by_source,DROP AND CREATE
dev.stu_tbs_stage3,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.orders_user_cohort_base,sp_studio_behaviour_by_source,DROP AND CREATE
dev.studio_source_post_impression_base,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.studio_search_ads_sessions_mod,sp_studio_behaviour_by_source,DROP AND CREATE
customer_insights.studio_notifdotclick_sessions_mod,sp_studio_behaviour_by_source,DROP AND CREATE
dev.stu_tbs_stage2,sp_studio_behaviour_by_source,DROP AND CREATE
